,Degree Distribution,Average Path Length,Diameter,Information Centrality,Closeness Centrality,Harmonic Centrality,Assortativity,Network Type
69,8.927794263105836,3.409493590308586,6,0.0035132855212994993,0.29405748138768484,313.6070227497524,-0.007711249043919665,Erdos-Renyi
70,7.659113300492611,3.630332002215291,6,0.0028670776229702383,0.2762672188849535,295.8528078817732,-0.011715388680484913,Erdos-Renyi
71,8.959526159921026,3.4028557604891354,6,0.0035238977600288088,0.2946139335564758,314.79680816057873,-0.019937775834167393,Erdos-Renyi
72,8.306949806949808,3.5205174118217597,7,0.0031038326321008937,0.28486691691178995,311.24499908071294,-0.008806935716596057,Erdos-Renyi
73,7.062265566391598,3.8989983982482106,7,0.0019409286512575134,0.2573526981113446,360.8238381023802,0.00234220731983718,Erdos-Renyi
74,7.089051094890511,3.9073285951171135,7,0.0019099837894430746,0.25682903594690487,369.93356621480433,0.011245651906163062,Erdos-Renyi
75,7.1486725663716815,3.790535911645516,7,0.0023149390698691324,0.2647971456190325,315.41576906868823,-0.012210188782126444,Erdos-Renyi
76,6.325763508222396,4.087881079037615,7,0.001756743216988184,0.24557259671530995,330.4804116791562,-0.014802924952061666,Erdos-Renyi
77,6.196041470311028,4.028013799726139,8,0.001995895829157814,0.2494957409044811,279.8245927023012,0.022316987074374656,Erdos-Renyi
78,7.575642245480495,3.6630021294911876,7,0.002683584931330905,0.2739682977263777,303.73210547777575,-0.005721572207979569,Erdos-Renyi
79,6.967880085653105,3.9508810033649433,7,0.0018106450724841253,0.2539818166087621,374.10567621766467,-0.014755292939916316,Erdos-Renyi
80,6.330605564648118,4.051448264214222,7,0.001806246990483219,0.24787779286776887,319.34374171927135,0.0016618131743039086,Erdos-Renyi
81,6.699140401146132,4.028017582237011,8,0.0017252161044128658,0.2491915900612128,365.9525958520913,0.0061687980799334996,Erdos-Renyi
82,6.548571428571429,4.069253548452977,8,0.0016560149721089783,0.2467014897296295,363.3758316326498,0.007711446853073322,Erdos-Renyi
83,9.703849950641658,3.299909477191764,6,0.0038751733116193835,0.3037676808419057,324.5493583415591,-0.024784678128632553,Erdos-Renyi
84,9.375711574952561,3.362973054307653,6,0.0035755007467689432,0.298097261497285,331.22820999367406,-0.004760535265237449,Erdos-Renyi
85,8.075367647058824,3.5799979030250553,6,0.0028782430732854115,0.2800732737558987,321.0321997549013,-0.006202219456244889,Erdos-Renyi
86,8.450728363324764,3.547246241333645,6,0.002841293278362336,0.28261338652530604,347.0961439588676,-0.011543651923755158,Erdos-Renyi
87,7.220952380952381,3.74087430205638,7,0.0025658038819743956,0.26823118691190706,297.1489160997726,-0.003725830010673097,Erdos-Renyi
88,7.546031746031746,3.7626271795453685,7,0.0022602039828845994,0.2665632822218172,353.31818972033074,-0.019949439169375714,Erdos-Renyi
89,9.087396504139834,3.4146950144093684,6,0.003322542741166997,0.2935834201700871,336.2561790861689,-0.012921551430868077,Erdos-Renyi
90,7.4347477982385906,3.7828172794645973,7,0.002247369403046942,0.265136383802445,348.43071028250995,-0.00916725172793,Erdos-Renyi
91,7.601455868971793,3.6722753422137364,7,0.0026247940636594347,0.2731489459300202,316.28565795744964,-0.004081305561143878,Erdos-Renyi
92,8.109125117591722,3.5599119855860453,6,0.0029430388345236622,0.28169682503242416,315.5925054876131,-0.0039655160225598165,Erdos-Renyi
93,8.528942115768464,3.462324103042666,6,0.003326827910652084,0.28960841817631294,306.11064537591466,-0.004528534304546745,Erdos-Renyi
94,7.390243902439025,3.7826112842088553,7,0.0022510797473194416,0.2652094380015802,343.3198451413068,-0.0063942354095795455,Erdos-Renyi
95,7.8628963153384746,3.6539013847060606,7,0.0025520306073324186,0.2745003608947755,337.2400048965589,-0.0047290699323840925,Erdos-Renyi
96,6.733798604187438,3.8463113653052816,8,0.0024265432695455193,0.2610386651958136,276.71209229454445,-0.0022370203820194327,Erdos-Renyi
97,5.928,4.075293293293293,8,0.0019885890238851792,0.2466380747241984,261.06335238095147,-0.0015289955302734762,Erdos-Renyi
98,7.285939968404423,3.8130690794197903,7,0.0021137906499275774,0.26319042620668454,350.5449635146298,0.010284369743262804,Erdos-Renyi
